Title,Rating,Votes,Duration,Genre
Parahuna 2,6.7,80,115.0,Romance
Kill the Children first,7.8,25,106.0,Romance
Love & Vodka,0.0,0,83.0,Romance
Welcome to My Side,7.1,82,102.0,Romance
Assisting Venus,6.2,27,100.0,Romance
Amo-te Imenso,5.8,83,87.0,Romance
A Christmas Dream,4.5,48,94.0,Romance
8 Views of Lake Biwa,5.5,102,126.0,Romance
Tauba Tera Jalwa,6.2,15,130.0,Romance
Maru Mann Taru Thayu,7.5,21,153.0,Romance
Azzamine,8.4,99,104.0,Romance
Son Sans,5.4,10,86.0,Romance
Buzzy Noise,6.0,49,119.0,Romance
Ai zuo dai,6.2,36,78.0,Romance
We Are Faheem & Karun,9.4,47,81.0,Romance
Taboo,7.4,134,0.0,Romance
The Christmas Brew,5.4,151,89.0,Romance
Khoka Bhai Tama Pain: A Song Epic,8.9,154,153.0,Romance
Noche De Bodas,4.6,223,90.0,Romance
The Mediterranean Sea,7.2,69,108.0,Romance
Hi Anokhi Gaath,6.7,79,126.0,Romance
L'invenzione di noi due,4.6,35,106.0,Romance
UnCancelled,8.0,32,0.0,Romance
Cedric & Alysia,5.1,51,84.0,Romance
Dona Lurdes: O Filme,5.7,101,90.0,Romance
Tilottoma,8.4,22,98.0,Romance
The Umesh Chronicles,8.3,11,0.0,Romance
Boomerang,6.3,13,83.0,Romance
Royal Façade,8.5,56,95.0,Romance
A Mountain Between Us,5.3,34,89.0,Romance
The Love Buzz,5.7,157,100.0,Romance
"Step Back, Doors Closing",9.0,39,98.0,Romance
Haunted Happy Hour,7.9,13,89.0,Romance
Kanni,8.5,149,122.0,Romance
SottoCoperta,7.6,75,96.0,Romance
10 Pasimatymu,6.1,22,99.0,Romance
Meen Yasadaq,8.0,15,0.0,Romance
Royal Runaways,5.1,10,0.0,Romance
Keluar Main 1994,7.8,47,112.0,Romance
Bar MoskvaChiki,5.2,100,91.0,Romance
American Spirit,0.0,0,108.0,Romance
Lolipop Gang,0.0,0,90.0,Romance
Wrooklyn Zoo,5.4,141,129.0,Romance
Timing,7.8,59,138.0,Romance
Zénithal,5.3,70,80.0,Romance
Vampire's House of Cain,4.0,17,0.0,Romance
Sihina Nelum Mal,8.0,29,105.0,Romance
La Casa Azul,5.5,6,0.0,Romance
Puang Bos!,0.0,0,100.0,Romance
In the Summer Rain,0.0,0,129.0,Romance
Amor Platónico,5.8,20,0.0,Romance
Ancika,6.8,771,100.0,Romance
Forbidden Love,7.1,27,96.0,Romance
Ben and Suzanne: A Reunion in 4 Parts,8.0,21,109.0,Romance
#OOTD: Outfit of the Designer,5.6,42,107.0,Romance
B4S: Truoc Gio Yeu,5.8,58,97.0,Romance
Benaam Rishta,6.5,9,90.0,Romance
Selon Joy,0.0,0,86.0,Romance
Seasoned with Love,0.0,0,120.0,Romance
Gecenin Nakarati,7.3,22,104.0,Romance
Apsara,7.2,30,150.0,Romance
Bear Week Diaries,0.0,0,74.0,Romance
Amigos Sem Compromisso,6.3,35,0.0,Romance
Rabb Da Radio 3,6.8,6,122.0,Romance
How to Make Love,2.8,11,65.0,Romance
Cazadoras de Millonarios,5.6,7,0.0,Romance
No Means No,7.7,8,0.0,Romance
Go Noni Go,0.0,0,114.0,Romance
Faith in the Family,2.8,121,0.0,Romance
Shesh Rokkha,5.0,17,109.0,Romance
Maaya Ka Moh,3.7,17,90.0,Romance
Ponder,0.0,0,80.0,Romance
Maunam,8.5,44,106.0,Romance
Our Christmas House,5.4,44,77.0,Romance
